PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2021,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2022,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2023,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2024,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2025,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2026,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2027,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2028,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2029,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2030,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2031,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2032,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2033,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2034,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2035,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2036,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2037,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2038,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2039,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2040,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2041,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2042,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2043,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2044,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2045,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2046,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2047,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2048,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2049,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2050,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2051,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2052,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2053,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2054,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHDSL,,,2055,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2021,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2022,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2023,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2024,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2025,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2026,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2027,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2028,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2029,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2030,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2031,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2032,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2033,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2034,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2035,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2036,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2037,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2038,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2039,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2040,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2041,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2042,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2043,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2044,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2045,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2046,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2047,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2048,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2049,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2050,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2051,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2052,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2053,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2054,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHGSL,,,2055,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHLPG,,,2021,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHLPG,,,2022,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHLPG,,,2023,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHLPG,,,2024,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHLPG,,,2025,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHLPG,,,2026,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHLPG,,,2027,,,,,,0.0
SpecifiedAnnualDemand,BAU,JAM,,E5OTHLPG,,,2028,,,,,,0.0
